company,role,url,source,track,date_discovered,fetched_at,posted_relative,location,work_model,h1b_signal,is_new_grad_signal,list_url,notes
XPENG,AI Intern – VLA Deployment,https://jobright.ai/jobs/info/69f97269a3d34b4f76f61805,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,9 hours ago,"Multi Locations: Santa Clara, CA; Santa Clara, CA, United States",On Site,10000+,"1. BS, MS, or PhD in Computer Science, Electrical Engineering, Robotics, or a related field. 2. Strong programming skills in C++ and/or Python. 3. Familiarity with deep learning frameworks such as PyTorch. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=9 hours ago
Zipline,Software Engineer Intern (Fall 2026),https://jobright.ai/jobs/info/6a5654a653b3962b910af7a2,intern_list,internship_if_eligible,2026-07-28,2026-07-28T13:01:35+00:00,9 hours ago,"South San Francisco, CA, United States",On Site,1001-5000,1. You must have completed the second year of your undergraduate studies. Masters and PhD students are also eligible 2. Passion for software development and curiosity to learn new technology stacks 3. Strong understanding in computer science fundamentals ...,https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=9 hours ago
"Akina, Inc",Software Engineer - 0 (Java Developer),https://jobright.ai/jobs/info/6a5dd9f395356634d79e1cd1,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,4 hours ago,"Annapolis Junction, MD, United States",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
Altamira Technologies Corporation,Junior Software Engineer,https://jobright.ai/jobs/info/6a552a494119652ff3863ca4,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,4 hours ago,"Warrenton, VA, United States",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
Applied Systems,Associate Software Engineer / Software Engineer,https://jobright.ai/jobs/info/6a5ec528f3674a0545d2ae8f,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,3 hours ago,"Chicago, IL, US",Remote,Not Sure,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
Arista Networks,Software L1 Test Engineer,https://jobright.ai/jobs/info/6a55d66814f1040fa611ce1c,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,7 hours ago,"Santa Clara, CA, United States",On Site,Not Sure,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=7 hours ago
Booz Allen Hamilton,Data Engineer,https://jobright.ai/jobs/info/6a6229c5846162391c934321,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,3 hours ago,"San Diego, CA, United States",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
Booz Allen Hamilton,Software Engineer,https://jobright.ai/jobs/info/6a63eb0687cef057612cb4c9,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,3 hours ago,"Rome, NY, United States",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
Capgemini,Junior Data Engineer/Junior Data Scientist,https://jobright.ai/jobs/info/6a6396c0979290281c70302e,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,4 hours ago,"Atlanta, GA, United States",On Site,Not Sure,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
Capgemini,Junior Data Engineer/Junior Data Scientist,https://jobright.ai/jobs/info/6a6398010c8e2b4f36dcec86,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,5 hours ago,"Charlotte, NC, United States",On Site,Not Sure,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=5 hours ago
DCCA,Software Engineer Level 0,https://jobright.ai/jobs/info/6a686f5599b26f0159ee4814,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,4 hours ago,"Annapolis Junction, MD, United States",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
DCCA,Systems Engineer - Test,https://jobright.ai/jobs/info/6a5608efe9b77f668bd60d00,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,4 hours ago,"Bethesda, MD, United States",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
In-Depth Engineering Corporation,"Software Engineer - Columbia, MD",https://jobright.ai/jobs/info/6a560ba1e9b77f668bd60edc,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,4 hours ago,"Columbia, MD, United States",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
Innovative Defense Technologies (IDT),DevSecOps Engineer - JobID-0030,https://jobright.ai/jobs/info/6a5604a8efb06a45240d3129,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,4 hours ago,"Arlington, VA, United States",Hybrid,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
Nexcess,On-Site (Data Center) Technician,https://jobright.ai/jobs/info/6a55c056ef22935f2e3f69e7,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,6 hours ago,"Dallas, TX, United States",On Site,Not Sure,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=6 hours ago
Polaris Inc.,OneStream Developer,https://jobright.ai/jobs/info/6a1f52a1b61b2c65b37b14be,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,3 hours ago,"Medina, MN, USA, US",Hybrid,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
Polaris Inc.,OneStream Developer,https://jobright.ai/jobs/info/6a51dee98d7d3e6cf1cc41fe,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,3 hours ago,"Medina, MN, United States",Hybrid,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
Tennant Company,Machine Learning Engineer,https://jobright.ai/jobs/info/6a5ec279f29acc1a117496ab,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,3 hours ago,"Golden Valley, MN, United States",Hybrid,Not Sure,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
Tennant Company,Machine Learning Engineer Job Details | Tennant Company,https://jobright.ai/jobs/info/6a56a14bf7517b519ad571ba,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,3 hours ago,"Golden Valley, MN, United States",Hybrid,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
The Applied Research Laboratory at Penn State University,DevSecOps Research Computing Software Engineer,https://jobright.ai/jobs/info/6a686d637854790586cc4e55,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,4 hours ago,"Reston, VA, United States",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
The Applied Research Laboratory at Penn State University,DevSecOps Research and Development Engineer,https://jobright.ai/jobs/info/6a6865a2f262f344fb541edf,newgrad_jobs,new_grad_2027_start,2026-07-28,2026-07-28T13:01:35+00:00,4 hours ago,"State College, PA, United States",Remote,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
