company,role,url,source,track,date_discovered,fetched_at,posted_relative,location,work_model,h1b_signal,is_new_grad_signal,list_url,notes
Chicago Trading Company,Software Engineering Internship - Summer 2027,https://jobright.ai/jobs/info/6a5e48aa27bf767ea68f5afa,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,"Chicago, Illinois, United States",On Site,501-1000,"1. You are pursuing a Bachelor’s or Master’s degree in Computer Science, Computer Engineering or a similar technical field with Java, C++, or Python experience 2. You will graduate between December 2027-June 2028 3. You have a demonstrated record of success (academics, awards, etc.) ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=3 hours ago
Citadel,Machine Learning Researcher – PhD Intern (US),https://jobright.ai/jobs/info/6a5e2cb2f3674a0545d27570,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,5 hours ago,"New York, United States",On Site,1001-5000,"1. PhD degree in mathematics, statistics, physics, computer science, or another highly quantitative field 2. Advanced training and a strong research track record in machine learning, statistics, deep learning, natural language processing, artificial intelligence, or a closely related quantitative field 3. Prior experience working in a data driven detailed research environment ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=5 hours ago
EV Realty,"Intern, Data Analytics",https://jobright.ai/jobs/info/6a5e47cb67b2850e77df01b4,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,"San Francisco, CA, United States",Hybrid,11-50,"1. Currently pursuing a Bachelor’s degree in Data Science, Statistics, Computer Science, GIS, Business Analytics or related fields 2. GPA of 3.0 or higher 3. Programming Proficiency and experience in Python, SQL, or similar languages. Python and SQL preferred ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=3 hours ago
Etched,Inference Intern,https://jobright.ai/jobs/info/6a4b99ed971cd25b06f97bbd,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,5 hours ago,"San Jose, CA, United States",On Site,101-250,"1. Progress towards a Bachelor’s, Master’s, or PhD degree in computer science, computer engineering, applied mathematics, or a related field 2. Proficiency in Python, C++ 3. Understanding of performance-sensitive or complex distributed software systems, e.g. Linux internals, accelerator architectures (e.g. GPUs, TPUs), Compilers, or high-speed interconnects (e.g. NVLink, InfiniBand). ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=5 hours ago
Exowatt,Software Engineering Intern - Inventory Automation & IoT/Robotics,https://jobright.ai/jobs/info/6a51b3e178e364789ca5b369,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,5 hours ago,"Austin, TX, United States",On Site,51-100,1. Pursuing a CS / software-engineering / EE / robotics (or closely related) degree. 2. Strong programming fundamentals; comfortable in Python. 3. Genuine interest in hardware / IoT / robotics alongside software. ...,https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=5 hours ago
GE HealthCare,Edison Engineering Development Program Intern – Software,https://jobright.ai/jobs/info/6a5e2e7a050c423c792ed917,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,5 hours ago,"Waukesha, WI, United States",On Site,10000+,"1. Must be enrolled in an accredited undergraduate or master’s degree program and planning to continue studies after Summer 2027. 2. Pursuing a degree in Computer Science, Computer Engineering, Biomedical Engineering (with a focus on software), or a closely related field. 3. Strong academic performance (GPA). ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=5 hours ago
Google,"Software Engineering Intern, BS, Summer 2027",https://jobright.ai/jobs/info/6a5e4d52050c423c792ee502,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,"Mountain View, CA, USA",On Site,10000+,"1. Pursuing a Bachelor's degree or post secondary or training experience with a focus on subjects in software development or other technical related fields. 2. Experience in software development and coding in two or more general purpose programming languages (e.g., C, C++, Java, JavaScript, Python, etc.). 3. Experience with data structures or algorithms gathered from inside or outside of school or work.",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=3 hours ago
Google,"Software Engineering Intern, MS, Summer 2027",https://jobright.ai/jobs/info/6a5e4d57f29acc1a1174697a,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,"Mountain View, CA, United States",On Site,10000+,"1. Pursuing a Master's degree or post secondary or training experience with a focus on subjects in software development or other technical related fields. 2. Experience in Software Development and coding in two or more general purpose programming languages (e.g., C, C++, Java, JavaScript, Python, etc.). 3. Experience in data structures or algorithms gathered from inside or outside of school or work.",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=3 hours ago
HyperLight,Software Engineer Intern,https://jobright.ai/jobs/info/6a5e558127bf767ea68f61f4,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,2 hours ago,"Multi Locations: Cambridge, MA, United States; Cambridge, Massachusetts, United States",On Site,11-50,"1. Current Ph.D., Master's, or Bachelor's student in Electrical Engineering, Physics, Computer Science or a related field 2. Mastery of data structures and algorithms. Understanding of core software engineering and database concepts 3. Familiarity with database systems and proficiency in SQL ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=2 hours ago
Marketeq Talent,Quality Assurance - Internship,https://jobright.ai/jobs/info/6a5e5400050c423c792ee8f1,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,2 hours ago,United States,Remote,1-10,"1. Currently pursuing or recently completed a degree in Computer Science, Information Technology, or a related field. 2. Basic understanding of web technologies (HTML, CSS, JavaScript) and familiarity with QA methodologies and tools. 3. Strong analytical and problem-solving skills, attention to detail, and effective communication abilities.",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=2 hours ago
Metallus Inc.,Applications Programmer Intern,https://jobright.ai/jobs/info/6a5e5064f29acc1a11746b63,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,2 hours ago,"Canton, OH, United States",On Site,1001-5000,1. Minimum cumulative GPA of 2.5 2. Must have completed 30 or more credit hours by the end of the spring 2027 semester 3. Must be a full-time student attending an accredited two-year or four-year college/university,https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=2 hours ago
National Laboratory of the Rockies,Graduate Intern - LLM Reliability and Uncertainty for AI Science Assistants,https://jobright.ai/jobs/info/6a5e550067b2850e77df08e3,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,2 hours ago,"Golden, CO, United States of America",Remote,1001-5000,1. Minimum of a 3.0 cumulative grade point average. 2. Undergraduate: Must be enrolled as a full-time student in a bachelor’s degree program from an accredited institution. 3. Post Undergraduate: Earned a bachelor’s degree within the past 12 months. Eligible for an internship period of up to one year. ...,https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=2 hours ago
PlusAI,Reinforcement Learning Planning Research Intern,https://jobright.ai/jobs/info/6a5e474e27bf767ea68f5a31,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,"Santa Clara, CA, United States",On Site,251-500,"1. Pursuing MS or PhD in CS, EE, mathematics, statistics or related field 2. Thorough understanding of reinforcement learning 3. 1-2 years experience with implementing and training models in at least one deep learning framework (PyTorch, Tensorflow, Jax)",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=3 hours ago
Tampa Electric,IT Cyber Security Student Internship,https://jobright.ai/jobs/info/6a5b06a4856af468ab00b57c,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,2 hours ago,"Lutz, FL, United States",On Site,1001-5000,"1. The successful applicant should be enrolled in an accredited university as a college undergraduate or a graduate-level post-secondary educational program in a related discipline. 2. To qualify as a co-op student, enrollment in the university’s co-op program (proof of enrollment required); if not eligible for co-op program (or program unavailable), the student will be considered an intern. 3. A minimum GPA of 3.0 on a 4.0 scale is required. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=2 hours ago
Tampa Electric,IT Cyber Security Student Internship Job Details | New Mexico Gas Co - Peoples Gas - Tampa Electric,https://jobright.ai/jobs/info/6a4fd24a1544d7246c0d6a3b,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,2 hours ago,"Lutz, FL, United States",On Site,1001-5000,"1. The successful applicant should be enrolled in an accredited university as a college undergraduate or a graduate-level post-secondary educational program in a related discipline. 2. To qualify as a co-op student, enrollment in the university’s co-op program (proof of enrollment required); if not eligible for co-op program (or program unavailable), the student will be considered an intern. 3. A minimum GPA of 3.0 on a 4.0 scale is required. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=2 hours ago
TikTok,Software Engineer Intern (Recommendation Infrastructure) - 2026 Fall (BS/MS),https://jobright.ai/jobs/info/6a5dfad0050c423c792ecae1,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,9 hours ago,"San Jose, CA, United States",On Site,10000+,"1. Must be able to commit to a 12-week full-time work period during Fall 2026. 2. Currently pursuing an Undergraduate/Masters degree in Software Development, Computer Science, Computer Engineering, or a related technical discipline. 3. Experience in programming, included but not limited to, the following programming languages: C, C++, Java or Golang. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=9 hours ago
TikTok,Software Engineer Intern (Recommendation Infrastructure) - 2026 Summer (BS/MS),https://jobright.ai/jobs/info/6a5e4db9270e3033b045cf3a,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,"Seattle, WA, United States",On Site,10000+,"1. Must be able to commit to a 12-week full-time work period during Summer 2026 2. Currently pursuing an Undergraduate/Masters degree in Software Development, Computer Science, Computer Engineering, or a related technical discipline. 3. Experience in programming, included but not limited to, the following programming languages: C, C++, Java or Golang. ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=3 hours ago
Warfighter AI,Wartime Engineering Intern,https://jobright.ai/jobs/info/6a5e4aa8270e3033b045ce1e,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,United States,Remote,1-10,"1. Develop and maintain data pipelines that ingest, normalize, and enrich multi-source sensor and intelligence feeds 2. Build ETL workflows, data enrichment logic, and analytics algorithms in Python and SQL on cloud infrastructure 3. Contribute to detection heuristics, track quality metrics, and correlation logic across heterogeneous data sources ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=3 hours ago
eAI,Front-End Developer Intern (Remote),https://jobright.ai/jobs/info/6a5e52d6f3674a0545d28527,intern_list,internship_if_eligible,2026-07-20,2026-07-20T15:40:08-04:00,2 hours ago,United States,Remote,11-50,"1. Familiarity with Figma: Proficiency in interpreting and implementing designs with an eye for user experience 2. Front-End Development Skills: Solid understanding of HTML, CSS, JavaScript, and responsive design 3. Experience with Next.js and React: Basic knowledge of modern JavaScript frameworks, and an interest in creating interactive UIs ...",https://jobright.ai/minisites-jobs/intern/us/swe,minisite_scrape;posted=2 hours ago
"Alturas Analytics, Inc.",Associate Database Systems Engineer,https://jobright.ai/jobs/info/6a5e54c1f29acc1a11746e49,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,2 hours ago,"Moscow, ID, United States",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=2 hours ago
Amazon Web Services (AWS),"Data Center Technician , DCC Communities",https://jobright.ai/jobs/info/697b2c4317b11b1c2e4240ae,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,4 hours ago,"Sparks, NV, United States",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
Amazon Web Services (AWS),"Data Center Technician , DCC Communities",https://jobright.ai/jobs/info/69cf32ed398fb071abf8d5e9,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,4 hours ago,"Sparks, NV, United States",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
Amazon Web Services (AWS),"Data Center Technician, DCC Communities",https://jobright.ai/jobs/info/697b32f31423772304eb5c61,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,"Sparks, NV, United States",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
Amazon Web Services (AWS),"Infra Decommission Technician, DCC Communities",https://jobright.ai/jobs/info/697ae412c532c4768fe09d9e,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,4 hours ago,"Herndon, VA, United States",On Site,Not Sure,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
BTI360,Full Stack Engineer - Polygraph Required,https://jobright.ai/jobs/info/6a5e3fb8f3674a0545d27ce1,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,4 hours ago,"Herndon, VA, United States",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
Bank of America,Quantitative Engineer - Consumer & Wholesale,https://jobright.ai/jobs/info/6a5e5056f29acc1a11746b59,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,2 hours ago,"Jersey City, NJ, United States",On Site,Not Sure,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=2 hours ago
Golub Capital,Analyst (Cybersecurity),https://jobright.ai/jobs/info/6a5e4a53050c423c792ee3b6,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,"Chicago, United States",On Site,Not Sure,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
Hadrian,All Levels: Backend Software Engineer,https://jobright.ai/jobs/info/6a34dc64649fdf16292f767d,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,4 hours ago,"Los Angeles, CA",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=4 hours ago
Microsoft,Data Center Technician (Night Shift),https://jobright.ai/jobs/info/6a5e4807050c423c792ee288,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,"United States, Illinois, Chicago",On Site,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
Preferred Travel Group,QA Automation Engineer,https://jobright.ai/jobs/info/690d462c4a1b456627b20055,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,"California, Newport Beach, CA, US",Hybrid,Not Sure,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
SpaceX,"New Graduate Engineer, Software",https://jobright.ai/jobs/info/69cfed37366bb95ba5519b76,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,"Hawthorne, CA",On Site,No,Yes,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
Traba,Software Engineer (AI Agents),https://jobright.ai/jobs/info/6a5e3a10050c423c792eddd0,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,"New York City, NY, United States",On Site,Not Sure,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
University of Utah Financial Services,Web Developers (Front-End),https://jobright.ai/jobs/info/6a5e50ee050c423c792ee744,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,2 hours ago,"Salt Lake City, UT, United States",Hybrid,No,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=2 hours ago
Ursa Space Systems,Jr. AI Engineer,https://jobright.ai/jobs/info/6a5e4818f29acc1a11746719,newgrad_jobs,new_grad_2027_start,2026-07-20,2026-07-20T15:40:08-04:00,3 hours ago,United States,Remote,Not Sure,Not Sure,https://jobright.ai/minisites-jobs/newgrad/us/swe,minisite_scrape;posted=3 hours ago
