company,slug,title,location,employmentType,publishedAt,jobUrl,applyUrl,required_count,required_essays,broad_sponsorship_question,export_control_question,external_artifact,g2_blockers,required_corrections,g2_candidate,notes
Clera,clera,Field Engineer / FDE,Amsterdam,FullTime,2026-08-28T17:14:56.062+00:00,https://jobs.ashbyhq.com/clera/67d85998-0f8d-4429-a903-4ed3c91ee42b,https://jobs.ashbyhq.com/clera/67d85998-0f8d-4429-a903-4ed3c91ee42b/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,"Software Engineer, Foundation",Berlin,FullTime,2026-08-28T17:18:16.864+00:00,https://jobs.ashbyhq.com/clera/0ad54fa8-bdbc-4aa9-909b-26ee01951f4e,https://jobs.ashbyhq.com/clera/0ad54fa8-bdbc-4aa9-909b-26ee01951f4e/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer Intern,San Francisco,FullTime,2026-08-28T17:21:35.883+00:00,https://jobs.ashbyhq.com/clera/2b250324-b074-4cee-a482-26cca47915aa,https://jobs.ashbyhq.com/clera/2b250324-b074-4cee-a482-26cca47915aa/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Forward Deployed Engineer,Berlin,FullTime,2026-08-31T14:02:20.220+00:00,https://jobs.ashbyhq.com/clera/3d91d030-51d8-4c15-a06f-d6e712a0e2d9,https://jobs.ashbyhq.com/clera/3d91d030-51d8-4c15-a06f-d6e712a0e2d9/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding AI Engineer,San Francisco,FullTime,2026-08-29T17:11:48.290+00:00,https://jobs.ashbyhq.com/clera/bc21714c-7f68-44f8-8b92-8905a97fe32a,https://jobs.ashbyhq.com/clera/bc21714c-7f68-44f8-8b92-8905a97fe32a/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Machine Learning Engineer,Mountain View,FullTime,2026-08-29T17:12:40.143+00:00,https://jobs.ashbyhq.com/clera/5f8bf366-5996-43cf-a4c6-92ec9ab53423,https://jobs.ashbyhq.com/clera/5f8bf366-5996-43cf-a4c6-92ec9ab53423/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Backend Engineer,Berlin,FullTime,2026-08-29T17:13:29.765+00:00,https://jobs.ashbyhq.com/clera/e5f78a0a-4300-45da-a9d2-7a9dd484d4eb,https://jobs.ashbyhq.com/clera/e5f78a0a-4300-45da-a9d2-7a9dd484d4eb/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Full Stack Engineer,Munich,FullTime,2026-08-29T17:15:59.543+00:00,https://jobs.ashbyhq.com/clera/06a1e23e-ba60-4287-96d6-a4c688229168,https://jobs.ashbyhq.com/clera/06a1e23e-ba60-4287-96d6-a4c688229168/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer,Berlin,FullTime,2026-08-29T17:20:11.342+00:00,https://jobs.ashbyhq.com/clera/9c12c019-ef53-4f0f-89d2-87cc7b097131,https://jobs.ashbyhq.com/clera/9c12c019-ef53-4f0f-89d2-87cc7b097131/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer (AI/ML),San Francisco,FullTime,2026-08-29T17:24:19.812+00:00,https://jobs.ashbyhq.com/clera/cf9a3a5c-9941-45d3-a498-135eb41a5861,https://jobs.ashbyhq.com/clera/cf9a3a5c-9941-45d3-a498-135eb41a5861/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer,Berlin,FullTime,2026-08-29T17:25:08.166+00:00,https://jobs.ashbyhq.com/clera/fcc11ef1-989c-473c-b342-53cd80018604,https://jobs.ashbyhq.com/clera/fcc11ef1-989c-473c-b342-53cd80018604/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,"Forward Deployed Engineer, DACH",Munich,FullTime,2026-08-31T17:11:25.994+00:00,https://jobs.ashbyhq.com/clera/b2b8c268-c502-4b50-b666-e3c309c57850,https://jobs.ashbyhq.com/clera/b2b8c268-c502-4b50-b666-e3c309c57850/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Forward Deployed Engineer,Munich,FullTime,2026-09-01T01:14:55.728+00:00,https://jobs.ashbyhq.com/clera/e2c73ddd-8827-48b4-82f1-a93ef5840c93,https://jobs.ashbyhq.com/clera/e2c73ddd-8827-48b4-82f1-a93ef5840c93/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Solutions Engineer,Munich,FullTime,2026-09-01T03:14:43.764+00:00,https://jobs.ashbyhq.com/clera/88592b8a-8ddb-41d2-a467-755eebcd0d83,https://jobs.ashbyhq.com/clera/88592b8a-8ddb-41d2-a467-755eebcd0d83/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,"Software Engineer, AI & Data Systems",San Francisco,FullTime,2026-08-31T17:06:23.504+00:00,https://jobs.ashbyhq.com/clera/431bb19f-3118-4184-9fc9-65179adbb139,https://jobs.ashbyhq.com/clera/431bb19f-3118-4184-9fc9-65179adbb139/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer (Full-Stack/AI),Munich,FullTime,2026-08-31T17:09:43.229+00:00,https://jobs.ashbyhq.com/clera/6622f424-c7d8-49e4-8de0-a6badf9b2816,https://jobs.ashbyhq.com/clera/6622f424-c7d8-49e4-8de0-a6badf9b2816/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer,San Francisco,FullTime,2026-08-31T17:21:20.432+00:00,https://jobs.ashbyhq.com/clera/9d6dbfd0-3a87-400f-bdf0-6b5688aa66c4,https://jobs.ashbyhq.com/clera/9d6dbfd0-3a87-400f-bdf0-6b5688aa66c4/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Robot Learning Engineer,Munich,FullTime,2026-08-31T17:23:53.165+00:00,https://jobs.ashbyhq.com/clera/708a6e63-a4df-4a09-a88c-b8e51c1c6506,https://jobs.ashbyhq.com/clera/708a6e63-a4df-4a09-a88c-b8e51c1c6506/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Forward Deployed Engineer,Berlin,FullTime,2026-08-31T17:24:42.434+00:00,https://jobs.ashbyhq.com/clera/98ca0867-dadf-4da4-bb13-b1fc808c998e,https://jobs.ashbyhq.com/clera/98ca0867-dadf-4da4-bb13-b1fc808c998e/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Backend Engineer,Berlin,FullTime,2026-08-31T17:25:34.094+00:00,https://jobs.ashbyhq.com/clera/4cb990b0-a769-4e5c-9caa-f07d7203f4be,https://jobs.ashbyhq.com/clera/4cb990b0-a769-4e5c-9caa-f07d7203f4be/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Product Engineer,Berlin,FullTime,2026-08-31T17:26:24.119+00:00,https://jobs.ashbyhq.com/clera/8ca6067c-205d-43ee-81c5-d824ff169f8e,https://jobs.ashbyhq.com/clera/8ca6067c-205d-43ee-81c5-d824ff169f8e/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,AI/LLM Engineer,Munich,FullTime,2026-09-01T02:14:43.448+00:00,https://jobs.ashbyhq.com/clera/be5766ca-a5b4-4c62-8855-26e407b00f61,https://jobs.ashbyhq.com/clera/be5766ca-a5b4-4c62-8855-26e407b00f61/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Full-Stack Engineer,Munich,FullTime,2026-09-01T02:44:40.838+00:00,https://jobs.ashbyhq.com/clera/2b455a50-782c-4b38-87c1-bbc7661503b6,https://jobs.ashbyhq.com/clera/2b455a50-782c-4b38-87c1-bbc7661503b6/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer,San Francisco,FullTime,2026-09-01T04:14:40.284+00:00,https://jobs.ashbyhq.com/clera/fe2757ba-884a-4df6-a47f-7caba914a2ef,https://jobs.ashbyhq.com/clera/fe2757ba-884a-4df6-a47f-7caba914a2ef/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,AI Engineer (Mid-Level),San Francisco,FullTime,2026-09-01T17:04:06.238+00:00,https://jobs.ashbyhq.com/clera/6342487f-155e-4f5f-900e-72c7a28c7de9,https://jobs.ashbyhq.com/clera/6342487f-155e-4f5f-900e-72c7a28c7de9/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Talent AI Operator,San Francisco,FullTime,2026-09-01T17:06:43.707+00:00,https://jobs.ashbyhq.com/clera/2dfd0c20-ab97-4175-93f1-7854420ba612,https://jobs.ashbyhq.com/clera/2dfd0c20-ab97-4175-93f1-7854420ba612/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Product Engineer (Software Engineer),San Francisco,FullTime,2026-09-01T17:07:39.589+00:00,https://jobs.ashbyhq.com/clera/968cbd8e-1e8d-4f8b-880d-ffe990535144,https://jobs.ashbyhq.com/clera/968cbd8e-1e8d-4f8b-880d-ffe990535144/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer,San Francisco,FullTime,2026-09-01T17:08:28.503+00:00,https://jobs.ashbyhq.com/clera/b54884f2-32aa-4ab0-a4d7-0b2a88ae8f22,https://jobs.ashbyhq.com/clera/b54884f2-32aa-4ab0-a4d7-0b2a88ae8f22/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Full Stack Engineer,San Mateo,FullTime,2026-09-01T17:12:58.696+00:00,https://jobs.ashbyhq.com/clera/2cbc37a1-b5ea-4380-bed6-eb59198690b7,https://jobs.ashbyhq.com/clera/2cbc37a1-b5ea-4380-bed6-eb59198690b7/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Product Engineer,San Francisco,FullTime,2026-09-01T17:18:19.614+00:00,https://jobs.ashbyhq.com/clera/c107d295-9940-4950-9a99-92f4c267fbe9,https://jobs.ashbyhq.com/clera/c107d295-9940-4950-9a99-92f4c267fbe9/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer,San Francisco,FullTime,2026-09-01T17:20:05.909+00:00,https://jobs.ashbyhq.com/clera/74e8939c-417c-4176-aa4f-225fc68d1738,https://jobs.ashbyhq.com/clera/74e8939c-417c-4176-aa4f-225fc68d1738/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Cloud Infrastructure Engineer,San Mateo,FullTime,2026-09-01T17:24:28.589+00:00,https://jobs.ashbyhq.com/clera/92a0cb0b-81d9-48a6-bd50-174447383003,https://jobs.ashbyhq.com/clera/92a0cb0b-81d9-48a6-bd50-174447383003/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,ML Infrastructure Engineer,San Mateo,FullTime,2026-09-01T17:25:26.097+00:00,https://jobs.ashbyhq.com/clera/af935737-b4e1-4cdc-b303-8c8a49bbae44,https://jobs.ashbyhq.com/clera/af935737-b4e1-4cdc-b303-8c8a49bbae44/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Product Engineer,San Francisco,FullTime,2026-09-01T17:26:19.734+00:00,https://jobs.ashbyhq.com/clera/050ea512-5bb3-460c-8dce-08462e026079,https://jobs.ashbyhq.com/clera/050ea512-5bb3-460c-8dce-08462e026079/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer (Applied AI),San Francisco,FullTime,2026-09-01T17:29:57.620+00:00,https://jobs.ashbyhq.com/clera/e0d22720-fdf1-4875-b1ff-fd51f6edfe43,https://jobs.ashbyhq.com/clera/e0d22720-fdf1-4875-b1ff-fd51f6edfe43/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer - ML Research,Mountain View,FullTime,2026-09-02T17:09:01.390+00:00,https://jobs.ashbyhq.com/clera/fd97c117-a6e8-4b17-ad6d-484cf0517374,https://jobs.ashbyhq.com/clera/fd97c117-a6e8-4b17-ad6d-484cf0517374/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer,London,FullTime,2026-09-02T17:10:47.475+00:00,https://jobs.ashbyhq.com/clera/ab8f9bae-da6d-480f-8415-2509594a0d16,https://jobs.ashbyhq.com/clera/ab8f9bae-da6d-480f-8415-2509594a0d16/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer,San Francisco,FullTime,2026-09-02T17:19:24.886+00:00,https://jobs.ashbyhq.com/clera/2255d466-fe13-40ec-b0ce-e6eb475602e7,https://jobs.ashbyhq.com/clera/2255d466-fe13-40ec-b0ce-e6eb475602e7/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer,Berlin,FullTime,2026-09-02T17:20:16.076+00:00,https://jobs.ashbyhq.com/clera/43ae832c-e356-4dc0-8328-912fa28f9c18,https://jobs.ashbyhq.com/clera/43ae832c-e356-4dc0-8328-912fa28f9c18/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Product Engineer (Mid-Level),San Francisco,FullTime,2026-09-02T17:21:06.336+00:00,https://jobs.ashbyhq.com/clera/46af4dfc-8ade-4246-a006-16499d2d67d5,https://jobs.ashbyhq.com/clera/46af4dfc-8ade-4246-a006-16499d2d67d5/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Product Engineer,San Francisco,FullTime,2026-09-02T17:23:33.231+00:00,https://jobs.ashbyhq.com/clera/fd7a0259-0862-464b-b2d1-5e2f817854b1,https://jobs.ashbyhq.com/clera/fd7a0259-0862-464b-b2d1-5e2f817854b1/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer,Munich,FullTime,2026-09-02T17:25:13.117+00:00,https://jobs.ashbyhq.com/clera/4172bd9f-0a35-49a8-9c90-4bb3ac76552c,https://jobs.ashbyhq.com/clera/4172bd9f-0a35-49a8-9c90-4bb3ac76552c/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Engineer - ML Demand Generation,Mountain View,FullTime,2026-09-02T17:26:52.688+00:00,https://jobs.ashbyhq.com/clera/944d62d0-193b-4961-af4e-c86585c4cd66,https://jobs.ashbyhq.com/clera/944d62d0-193b-4961-af4e-c86585c4cd66/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Founding Product Engineer,Berlin,FullTime,2026-09-02T17:27:42.969+00:00,https://jobs.ashbyhq.com/clera/4997d361-e885-445b-8809-6d0190e768b2,https://jobs.ashbyhq.com/clera/4997d361-e885-445b-8809-6d0190e768b2/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,AI-Native Founder's Associate,San Francisco,FullTime,2026-09-03T01:44:42.457+00:00,https://jobs.ashbyhq.com/clera/a9366ce9-b384-4bd9-9538-bb1e30d7f95d,https://jobs.ashbyhq.com/clera/a9366ce9-b384-4bd9-9538-bb1e30d7f95d/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
Clera,clera,Cloud / DevOps Engineer,Berlin,FullTime,2026-09-03T01:45:29.736+00:00,https://jobs.ashbyhq.com/clera/275c2a05-badf-4d41-a9d1-050014e6a41c,https://jobs.ashbyhq.com/clera/275c2a05-badf-4d41-a9d1-050014e6a41c/application,5,,False,False,False,,,False,kind=agency;workplaceType=OnSite;department=Engineering
